"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
288262;7956;80100;ANT;"2020-03-14 09:10:00";"2020-03-14 10:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
288263;7956;80100;ANT;"2020-03-14 10:15:00";"2020-03-14 11:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
288264;7956;80100;ANT;"2020-03-14 11:15:00";"2020-03-14 12:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00
288265;7956;80100;GNO;"2020-03-14 09:10:00";"2020-03-14 10:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288266;7956;80100;GNO;"2020-03-14 10:15:00";"2020-03-14 11:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288267;7956;80100;GNO;"2020-03-14 11:15:00";"2020-03-14 12:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288268;7956;80100;SPO;"2020-03-14 09:10:00";"2020-03-14 10:10:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;0.00;0.00;0.00
288269;7956;80100;SPO;"2020-03-14 10:15:00";"2020-03-14 11:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;1.00;0.00;0.00;0.00
288270;7956;80100;SPO;"2020-03-14 11:15:00";"2020-03-14 12:15:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00
288271;7956;80101;ANT;"2020-03-15 11:05:00";"2020-03-15 12:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00
288272;7956;80101;ANT;"2020-03-15 12:05:00";"2020-03-15 12:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288273;7956;80101;GNO;"2020-03-15 11:05:00";"2020-03-15 12:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288274;7956;80101;GNO;"2020-03-15 12:05:00";"2020-03-15 12:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288275;7956;80101;SPO;"2020-03-15 11:05:00";"2020-03-15 12:05:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;1.00;0.00;0.00;0.00
288276;7956;80101;SPO;"2020-03-15 12:05:00";"2020-03-15 12:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
288277;7956;80102;ANT;"2020-03-16 10:15:00";"2020-03-16 11:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288278;7956;80102;ANT;"2020-03-16 11:15:00";"2020-03-16 12:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00
288279;7956;80102;ANT;"2020-03-16 12:15:00";"2020-03-16 13:15:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
288280;7956;80102;GNO;"2020-03-16 10:15:00";"2020-03-16 11:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288281;7956;80102;GNO;"2020-03-16 11:15:00";"2020-03-16 12:15:00";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288282;7956;80102;GNO;"2020-03-16 12:15:00";"2020-03-16 13:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288283;7956;80102;SPO;"2020-03-16 10:15:00";"2020-03-16 11:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00
288284;7956;80102;SPO;"2020-03-16 11:15:00";"2020-03-16 12:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;3.00;0.00;0.00;0.00
288285;7956;80102;SPO;"2020-03-16 12:15:00";"2020-03-16 13:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00
288286;7956;80103;ANT;"2020-03-17 10:40:00";"2020-03-17 11:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
288287;7956;80103;ANT;"2020-03-17 11:40:00";"2020-03-17 12:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00
288288;7956;80103;ANT;"2020-03-17 12:40:00";"2020-03-17 13:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
288289;7956;80103;GNO;"2020-03-17 10:40:00";"2020-03-17 11:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288290;7956;80103;GNO;"2020-03-17 11:40:00";"2020-03-17 12:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
288291;7956;80103;GNO;"2020-03-17 12:40:00";"2020-03-17 13:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
288292;7956;80103;SPO;"2020-03-17 10:40:00";"2020-03-17 11:40:00";0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;2.00;2.00;0.00;0.00;0.00;0.00
288293;7956;80103;SPO;"2020-03-17 11:40:00";"2020-03-17 12:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;4.00;0.00;0.00;0.00
288294;7956;80103;SPO;"2020-03-17 12:40:00";"2020-03-17 13:40:00";0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;3.00;0.00;0.00;0.00
288295;7956;80104;ANT;"2020-03-18 09:25:00";"2020-03-18 10:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288296;7956;80104;ANT;"2020-03-18 10:30:00";"2020-03-18 11:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288297;7956;80104;ANT;"2020-03-18 11:30:00";"2020-03-18 12:30:00";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00
288298;7956;80104;ANT;"2020-03-18 12:40:00";"2020-03-18 13:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;1.00;0.00;0.00;0.00
288299;7956;80104;GNO;"2020-03-18 09:25:00";"2020-03-18 10:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288300;7956;80104;GNO;"2020-03-18 10:30:00";"2020-03-18 11:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288301;7956;80104;GNO;"2020-03-18 11:30:00";"2020-03-18 12:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
